naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Kalodont zubna pasta herbal 75 ml	00017145	Kalodont	0.075	KOM	       1,25	A	1	L	16,67	       1,25	1,79	MPC 2.5.2025=1,69€	3850105142764	KOZMETIKA
Pivac Kobasica Zimska bez gl.300g	00017149	Pivac	0.300	KOM	       4,89		1	KG	16,3			MPC 2.5.2025=4,59€	3858884997186	HRANA
Gavrilović Graničarska kobasica nar. 80g	00017174	Gavrilović	0.080	KOM	       2,35		1	KG	29,38			MPC 2.5.2025=2,35€	3859892502522	HRANA
Gavrilović Mediteranska salama nar. 80 g	00017177	Gavrilović	0.080	KOM	       2,35		1	KG	29,38			MPC 2.5.2025=2,35€	3859892502546	HRANA
Garden bio amarant 500g	00017256	Garden	0.500	KOM	       4,25		1	KG	 8,5			MPC 2.5.2025=4,49€	3859892617226	HRANA
Garden eko kurkuma mljevena 40 g	00017271	Garden	0.040	KOM	       3,09		1.000					MPC 2.5.2025=3,09€	3859892617400	HRANA
Garden Kus kus integralni bio 500g	00017275	Garden	0.500	KOM	       3,99		1	KG	7,98			MPC 2.5.2025=3,99€	3859892617165	HRANA
Garden bio proso oljušteni 500g	00017279	Garden	0.500	KOM	       3,05		1	KG	 6,1			MPC 2.5.2025=3,05€	3859892617134	HRANA
Garden Slanutak bio 500 g	00017281	Garden	0.500	KOM	       3,99		1	KG	7,98			MPC 2.5.2025=3,99€	3859892617158	HRANA
Dolce Vita rolada vanilija 300 g	00017283	Dolce Vita	0.300	KOM	       1,49		1	KG	4,967			MPC 2.5.2025=1,49€	5310119000767	HRANA
Dolce Vita  rolada čokolada 300 g	00017284	Dolce Vita	0.300	KOM	       1,49		1	KG	4,967			MPC 2.5.2025=1,49€	5310119000897	HRANA
Dolce Vita  rolada jagoda  300 g	00017285	Dolce Vita	0.300	KOM	       1,49		1	KG	4,967			MPC 2.5.2025=1,49€	5310119000262	HRANA
Dolce Vita  rolada lješnjak 300 g	00017286	Dolce Vita	0.300	KOM	       1,49		1	KG	4,967			MPC 2.5.2025=1,49€	5310119000286	HRANA
Dukatos krem jogurt 10% mm 150 g	00017345	Dukatos	0.150	KOM	       0,99		1	KG	 6,6			MPC 2.5.2025=0,99€	3850354009726	HRANA
Sanitar fresh lavanda 650 ml	00017435	Sanitar fresh	0.660	KOM	       2,89		1	L	4,446			MPC 2.5.2025=2,89€	3850111503849	SREDSTVA ZA ČIŠĆENJE
K-Classic sred. za čiš. laminata 1  l	00017644	K-Classic	1	KOM	       1,85		1.000					MPC 2.5.2025=1,85€	4337185656408	SREDSTVA ZA ČIŠĆENJE
KLC Sredstvo za čišćenje parketa 1l	00017645	K-Classic	1	KOM	       1,85		1.000					MPC 2.5.2025=1,85€	4337185656439	SREDSTVA ZA ČIŠĆENJE
K-CLassic osv. per. posuđa 2u1 limun 2/1	00017654	K- Classic	0.012	KOM	       2,09		1	KOM	1,045			MPC 2.5.2025=2,09€	4337185429842	SREDSTVA ZA ČIŠĆENJE
Bevola Tamponi.normal.32/1	00017687	Bevola	0.080	KOM	       2,05		1	KOM	0,064			MPC 2.5.2025=2,05€	4063367102530	TOALETNE POTREPŠTINE
Bevola Tamponi.mini.32/1	00017689	K- Classic	0.060	KOM	       2,05		1	KOM	0,064			MPC 2.5.2025=2,05€	4063367102516	TOALETNE POTREPŠTINE
Bevola Ulošci dnevni Aloa.Vera.mir. 45/1	00017692	K- Classic	0.077	KOM	       1,25		1	KOM	0,028			MPC 2.5.2025=1,25€	4337185383939	TOALETNE POTREPŠTINE
Bevola Ulošc.ultr.norm.krilca.miri.20_OC	00017694	K- Classic	0.150	KOM	       1,29		1	KOM	0,065			MPC 2.5.2025=1,29€	4337185384011	TOALETNE POTREPŠTINE
Bevola Ulošci ultr.norm.krilca.dry 20_OC	00017695	Bevola	0.085	KOM	       1,29		1	KOM	0,065			MPC 2.5.2025=1,29€	4337185384035	TOALETNE POTREPŠTINE
Bevola Uloš.ult.long.krilca.drynet 18_OC	00017696	Bevola	0.085	KOM	       1,29		1	KOM	0,072			MPC 2.5.2025=1,29€	4337185384059	TOALETNE POTREPŠTINE
KLC.Piškote 200 g	00017779	K-Classic	0.200	KOM	       1,29		1	KG	6,45			MPC 2.5.2025=1,29€	4337185876950	HRANA
Encian demerara smeđi šećer 500g	00017903	Encian	0.500	KOM	       2,65		1	KG	 5,3			MPC 2.5.2025=2,65€	3859889425742	HRANA
KLC.Fix instant umak bolognese 38 g	00017971	K-Classic	0.038	KOM	       0,69		1.000					MPC 2.5.2025=0,7€	8592061078262	HRANA
KLC.Fix instant umak od šampinjona 38 g	00017972	K-Classic	0.038	KOM	       0,69		1.000					MPC 2.5.2025=0,7€	8592061078279	HRANA
KLC.Fix instant umak carbonara 30 g	00017980	K-Classic	0.030	KOM	       0,69		1.000					MPC 2.5.2025=0,7€	8592061078286	HRANA
Benita juha sa šampinjonima 60 g	00018173	Benita	0.060	KOM	       0,82		1	KG	13,67			MPC 2.5.2025=0,82€	8592061078361	HRANA
Garden eko riža integralna 500g	00018439	Garden	0.500	KOM	       3,19		1	KG	6,38			MPC 2.5.2025=3,19€	3859892617035	HRANA
Paloma multi fun pap. ručnici 3 sl. 2/1	00018441	Paloma	0.406	KOM	       2,99		1	KOM	1,495			MPC 2.5.2025=2,99€	3838952018814	PROIZVODI ZA KUĆANSTVO
Croco krekeri sir 400 g	00018520	Croco	0.400	KOM	       1,85	A	1	KG	4,625	       1,85	1,85	MPC 2.5.2025=3,09€	5941194000085	HRANA
Croco krekeri pizza 400 g	00018521	Croco	0.400	KOM	       1,85	A	1	KG	4,625	       1,85	1,85	MPC 2.5.2025=3,09€	5941194000078	HRANA
R3 Prezervativi Pure 12/1	00018544	R3	0.046	KOM	       1,85		1	KOM	0,154			MPC 2.5.2025=1,85€	4008600177104	KOZMETIKA
R3 Prezervativi Pearl 12/1	00018547	R3	0.046	KOM	       1,85		1	KOM	0,154			MPC 2.5.2025=1,85€	4008600177036	KOZMETIKA
R3 Prezervativi fruit  12/1	00018550	R3	0.046	KOM	       1,85		1	KOM	0,154			MPC 2.5.2025=1,85€	4008600177272	KOZMETIKA
Nestle Lion 400 g	00018704	Nestle	0.400	KOM	       4,49		1	KG	11,23			MPC 2.5.2025=4,29€	5900020019530	HRANA
KLC.Krpa.za.čišć.38X38cm.6/1	00018760	K-Classic	0.100	KOM	       1,19		1	KOM	0,198			MPC 2.5.2025=1,19€	4009412320689	SREDSTVA ZA ČIŠĆENJE
KLC.Krpa.za.pod.microf.50x60cm.1/1	00018766	K-Classic	0.125	KOM	       1,85		1.000					MPC 2.5.2025=1,85€	4009412220316	SREDSTVA ZA ČIŠĆENJE
Rajčica mini trimix 300g	00018778	Rajčica trimix	0.300	KOM	       2,29		1	KG	7,633			MPC 2.5.2025=2,49€	4327475093235	HRANA
KLC.Naranč.voćni sok 20% 5x0,2L tetra.vg	00018831	K-Classic	1	KOM	       1,89		1.000					MPC 2.5.2025=1,89€	4335896075624	PIĆE
KLC.Jabuka višnja nektar 15% 5x0,2L vg.	00018832	K-Classic	1	KOM	       1,89		1.000					MPC 2.5.2025=1,89€	4337185783357	PIĆE
Listerine Total Care antib.vodica 250ml	00018884	Listerine	0.257	KOM	       5,19		1	L	20,76			MPC 2.5.2025=4,99€	3574660415483	KOZMETIKA
Listerine Total Care antib.vodica 500ml	00018885	Listerine	0.500	KOM	       7,49		1	L	14,98			MPC 2.5.2025=7,25€	3574660415506	KOZMETIKA
KFav.Praline brandy beans 250 g	00018945	K-Favourites	0.250	KOM	       3,29		1	KG	13,16			MPC 2.5.2025=3,29€	4337185699429	HRANA
Milka Jaffa biskvit s malinom 147 g	00019000	Milka	0.147	KOM	       1,75		1	KG	11,9			MPC 2.5.2025=1,75€	7622300479107	HRANA
Milka Jaffa biskvit s narančom 147 g	00019001	Milka	0.147	KOM	       1,75		1	KG	11,9			MPC 2.5.2025=1,75€	7622300479138	HRANA
Oreo keksi 176g	00019002	Oreo	0.176	KOM	       2,19		1	KG	12,44			MPC 2.5.2025=2,19€	7622210765338	HRANA
Friskies sp balance 10 kg	00019052	Friskies	10	KOM	      36,99		1	KG	3,699			MPC 2.5.2025=36,99€	7613031395491	PROIZVODI ZA KUĆANSTVO
Friskies sp active 10 kg	00019062	Friskies	10	KOM	      36,99		1	KG	3,699			MPC 2.5.2025=36,99€	7613031395484	PROIZVODI ZA KUĆANSTVO
Friskies mesne vrpce za pse 120 g	00019120	Friskies	0.120	KOM	       1,95		1	KG	16,25			MPC 2.5.2025=2,05€	7613033445149	PROIZVODI ZA KUĆANSTVO
Cekin Pileći mini file 400g	00019272	Cekin	0.400	KOM	       5,15	A	1	KG	12,88	       5,15	5,15	MPC 2.5.2025=6,29€	3850159110900	HRANA
Carefree Ulošci dnevni 76/1	00019280	Carefree	0.207	KOM	       3,89		1	KOM	0,051			MPC 2.5.2025=3,79€	3574660464429	TOALETNE POTREPŠTINE
Sljeme Pučka kobasica 700 g	00019281	Sljeme	0.700	KOM	       4,29		1	KG	6,129			MPC 2.5.2025=4,29€	3850139171877	HRANA
KBio.Banana kg	00019299	KBio	1	KG	       1,49	A	1.000			       1,49	1,99	MPC 2.5.2025=1,99€	2832883000000	HRANA
Pivac Dimljena pečenica delikatesa	00019429	Pivac	1	KG	      11,90		1.000					MPC 2.5.2025=11,9€	2800540000000	HRANA
Segafredo kava espresso Casa 250 g	00019686	Segafredo	0.250	KOM	       6,29		1	KG	25,16			MPC 2.5.2025=5,99€	8003410344117	HRANA
Hipp 2 Bio 600 g	00019719	Hipp	0.600	KOM	      11,85		1	KG	19,75			MPC 2.5.2025=11,85€	4062300355422	HRANA
Hipp Bio dječje mlijeko 12+ 600g	00019722	Hipp	0.600	KOM	      12,59		1	KG	20,98			MPC 2.5.2025=12,59€	4062300355446	HRANA
B_Skitlles bomboni fruits 38 g/B	00019729	Skitlles	0.038	KOM	       0,90		1.000					MPC 2.5.2025=0,9€	5000159376655	HRANA
B_Skitlles Crazy Sours bomboni 38 g/B	00019731	Skitlles	0.038	KOM	       0,90		1.000					MPC 2.5.2025=0,9€	5000159376792	HRANA
B_Skittles bomboni šumsko voće 38 g/B	00019732	Skitlles	0.038	KOM	       0,90		1.000					MPC 2.5.2025=0,9€	4009900460187	HRANA
Nivea sapun tvrdi sea&minerals 90g	00019739	Nivea	0.090	KOM	       1,05		1	KG	11,67			MPC 2.5.2025=1,05€	4005808176489	KOZMETIKA
M&M bomboni kikiriki 200g	00019887	M&M	0.200	KOM	       4,49		1	KG	22,45			MPC 4.7.2025=4,49€	5900951317910	PIĆE
M&M bomboni čokoladni 200g	00019890	M&M	0.200	KOM	       4,49		1	KG	22,45			MPC 2.5.2025=4,49€	5900951141638	PIĆE
Dr.Oetker preh.žut.boj.za kol.u gelu 10g	00019924	Dr.Oetker	0.010	KOM	       1,59		1.000					MPC 2.5.2025=1,59€	5907707054693	HRANA
Dr.Oetker preh.pla.boj.za kol.u gelu 10g	00019925	Dr.Oetker	0.010	KOM	       1,59		1.000					MPC 2.5.2025=1,59€	5907707054679	HRANA
KLC.Sladoledni krem desert van.750 ml	00019960	K- Classic	0.385	KOM	       2,33	A	1	L	3,107	       2,33	3,59	MPC 2.5.2025=3,59€	5900130043333	HRANA
Bref power aktiv lemon 3x50 g	00019981	Bref	0.150	KOM	       5,69		1	KG	37,93			MPC 2.5.2025=5,69€	9000100753371	SREDSTVA ZA ČIŠĆENJE
Old Spice Deo Stick wolfthorn m. 50ml	00019988	Old spice	0.070	KOM	       3,85		1	L	  77			MPC 2.5.2025=3,85€	8700216162173	KOZMETIKA
Old Spice Deo Sprej wolfthorn m.125ml	00020000	Old spice	0.120	KOM	       3,85		1	L	30,8			MPC 2.5.2025=3,85€	4015600306595	KOZMETIKA
Always Ulošci ultra sensit.night 7/1_OC	00020003	Always	0.050	KOM	       1,75		1	KOM	0,25			MPC 2.5.2025=1,75€	4015400552109	TOALETNE POTREPŠTINE
Always Ulošci ultra sensit.night 14/1_OC	00020014	Always	0.101	KOM	       3,45		1	KOM	0,246			MPC 2.5.2025=3,45€	4015400552154	TOALETNE POTREPŠTINE
Rižoto s pilet.i povrćem 600 g Ledo	00020134	Ledo	0.600	KOM	       5,79		1	KG	9,65			MPC 2.5.2025=4,49€	3850116813912	HRANA
Rižoto s plodovima mora 600 g Ledo	00020135	Ledo	0.600	KOM	       5,79		1	KG	9,65			MPC 2.5.2025=5,49€	3850116813868	HRANA
Kikkoman sojin umak s manje soli 250ml	00020175	Kikkoman	0.293	KOM	       5,59		1	L	22,36			MPC 2.5.2025=6,29€	8715035130302	HRANA
Špinat 500 g	00020176		0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,99€	3858890541601	HRANA
Whiskas Poslatica Temptations losos 60g	00020181	Whiskas	0.060	KOM	       1,89		1	KG	31,5			MPC 2.5.2025=1,89€	5998749146736	PROIZVODI ZA KUĆANSTVO
PIK Panona s paprikom delikatesa	00020211	PIK	1	KG	      16,90	A	1.000			      16,90	21,80	MPC 2.5.2025=21,9€	2800556000000	HRANA
Afrodita hranj. mlij.jojoba oil 250ml	00020238	Afrodita	0.250	KOM	       5,99		1	L	23,96			MPC 2.5.2025=5,59€	3831070650119	KOZMETIKA
Afrodita Gel za tuš.Jojoba oil 250ml_OC	00020242	Afrodita	0.250	KOM	       1,79	A	1	L	7,16	       1,79	1,49	MPC 2.5.2025=2,99€	3831070650126	KOZMETIKA
Maretti Bruschette pizza 70 g	00020260	Maretti	0.070	KOM	       0,69	A	1	KG	9,857	       0,69		MPC 2.5.2025=0,95€	3800205871255	HRANA
O Hara Irish Pale Ale 5,2% 0,5 l NB	00020286	O Hara	0.500	KOM	       3,19		1	L	6,18			MPC 2.5.2025=3,19€	5391500600575	PIĆE
Borotalco Roll on Invisible 50 ml	00020288	Borotalco	0.050	KOM	       4,19		1	L	83,8			MPC 2.5.2025=3,89€	80844044	KOZMETIKA
Borotalco dezodorans original 150 ml	00020290	Borotalco	0.132	KOM	       4,19		1	L	27,93			MPC 2.5.2025=3,89€	8002410040388	KOZMETIKA
Borotalco dezodorans invisible 150 ml	00020303	Borotalco	0.132	KOM	       4,19		1	L	27,93			MPC 2.5.2025=3,89€	8002410041866	KOZMETIKA
Dr.Oetker ukrasni cvjetići 12 kom/3 boje	00020332	Dr.Oetker	0.003	KOM	       2,69		1	KOM	0,224			MPC 2.5.2025=2,69€	5907707054839	HRANA
Dr.Oetker preljev za torte crveni 50g	00020342	Dr. Oetker	0.050	KOM	       1,15		1	KG	  23			MPC 2.5.2025=1,15€	5997381352147	HRANA
Choco-Loco mliječni puding 4x125 g	00020361	Choco-Loco	0.500	KOM	       1,85		1	KG	 3,7			MPC 2.5.2025=1,85€	3850108040500	HRANA
Dimek topljeni sir za rezanje 400g	00020362	Vindija	0.400	KOM	       4,69		1	KG	11,73			MPC 2.5.2025=4,69€	3850108057782	HRANA
O Hara crveno pivo 4,3% 0,5 l NB	00020374	O'Hara	0.500	KOM	       3,19		1	L	6,18			MPC 2.5.2025=3,19€	5391500600025	PIĆE
St. Peters Cream Stout sv.pivo 0,5 l NB	00020403	St. Peters	0.500	KOM	       3,69		1	L	7,18			MPC 2.5.2025=3,69€	688444500159	PIĆE
B_Snickers classic 50g EBA	00020450	Snickers	0.050	KOM	       1,09		1	KG	21,8			MPC 2.5.2025=1,09€	5900951311505	HRANA
Benita juha od rajčice s bosiljkom 70g	00020490	Mammita	0.070	KOM	       0,92		1	KG	12,96			MPC 2.5.2025=0,92€	8592061078316	HRANA
Benita juha s goveđim okruglicama 50 g	00020494	Benita	0.050	KOM	       0,82		1.000					MPC 2.5.2025=0,82€	4063367412752	HRANA
Yippy Piće negaz.bezal.šum.voće0,33L PET	00020497	Yippy	0.330	KOM	       1,49		1	L	4,212			MPC 2.5.2025=1,32€	9008700173582	PIĆE
KLC.SladoledNaŠtapićuMini Maxx12x50ml	00020506	K-Classic	0.429	KOM	       3,89	A	1	L	6,483	       3,89	5,99	MPC 2.5.2025=6,49€	4063367096228	HRANA
Vindija mlij puding lješnjak čoko 125 g	00020612	Vindija	0.125	KOM	       0,65		1	KG	 5,2			MPC 2.5.2025=0,65€	38503924	HRANA
Franck Cappuccino Irish cream 200 g	00020740	Franck	0.200	KOM	       3,59		1	KG	17,95			MPC 23.08.2025=3,59€	3858881085961	HRANA
President zagrebački sir maxi 25%mm 750g	00020847	President	0.750	KOM	       5,29		1	KG	7,053			MPC 2.5.2025=5,29€	3850355003679	HRANA
KLC.Bomboni voćno punjenje 300g	00020879	K-Classic	0.300	KOM	       1,69		1	KG	5,633			MPC 2.5.2025=1,65€	4063367214127	HRANA
Ferrero Giotto 38,7 g	00020883	Ferrero	0.039	KOM	       1,90		1.000					MPC 2.5.2025=1,49€	4008400121925	HRANA
KLC.Biskvit piškote 240 g	00021000	K-Classic	0.240	KOM	       1,35		1	KG	5,625			MPC 2.5.2025=1,35€	4337185792779	HRANA
KLC.Keks.s.maslacem. 400g	00021122	K-Classic	0.400	KOM	       2,79		1	KG	6,975			MPC 2.5.2025=2,79€	4063367286346	HRANA
Pizza pops pileće okruglice smrz. 500 g	00021141	Cekin	0.500	KOM	       5,29	A	1	KG	10,58	       5,29	6,79	MPC 2.5.2025=6,79€	3850159140570	HRANA
KLC.slatki crveni kupus 680g/650g	00021143	K- Classic	0.680	KOM	       1,89		1	KG	2,908			MPC 2.5.2025=1,89€	4063367491559	HRANA
Garnier Men Deo sprej Sport prot.150ml	00021159	Garnier	0.131	KOM	       4,99		1	L	33,27			MPC 2.5.2025=4,59€	3600541306912	KOZMETIKA
Syoss Oleo boja za kosu 1-10 inten. crna	00021170	Syoss	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100815277	KOZMETIKA
Syoss Oleo boja za kosu 4-18 smeđa kava	00021173	Syoss	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100815000	KOZMETIKA
Syoss Oleo boja za kosu 4-60 zlatno smeđ	00021174	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814911	KOZMETIKA
Syoss Oleo boja za kosu5-86 slatka plava	00021175	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814829	KOZMETIKA
Syoss Oleo boja za kosu 5-92svijetlocrve	00021176	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814737	KOZMETIKA
Syoss Oleo boja za kosu 6-10 tamnoplava	00021177	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814645	KOZMETIKA
Syoss Oleo boja za kosu 6-76 topla bakre	00021179	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814553	KOZMETIKA
Syoss Oleo boja za kosu 7-10priro. plava	00021183	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814461	KOZMETIKA
Syoss Oleo boja za kosu 9-10 svijetlopla	00021184	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100814379	KOZMETIKA
Violeta dječji vlažni toal. papir 60/1	00021192	Violeta	0.300	KOM	       1,95		1	KOM	0,033			MPC 2.5.2025=1,95€	3870128007833	PROIZVODI ZA KUĆANSTVO
Dessert Chef čokolada za kuhanje 300 g	00021224	Dessert Chef	0.300	KOM	       5,29		1	KG	17,63			MPC 2.5.2025=5,29€	3858881048997	HRANA
Vincinni Čajni kolutići čokoladni 800g	00021322	Vincinni	0.800	KOM	       4,39		1	KG	5,488			MPC 2.5.2025=4,39€	5310115006992	HRANA
B_Twix  50g	00021508	Twix,Mars ili Snicke	0.050	KOM	       1,09		1	KG	21,8			MPC 2.5.2025=1,09€	5900951313592	HRANA
Danone Activia čvrsti jogurt 4x125g	00021565	Danone Activia	0.500	KOM	       1,89		1	KG	3,78			MPC 2.5.2025=1,89€	5997536115177	HRANA
KLC.Jabuka nektar 50% 1 l brick	00021588	K-Classic	1	KOM	       1,35		1.000					MPC 2.5.2025=1,35€	4337185494161	PIĆE
Bijela Tartufata  80 g Zigante	00021635	Zigante	0.080	KOM	      11,25		1	KG	140,6			MPC 2.5.2025=11,25€	3859892291860	HRANA
Zigante masl.ulje okus bij.tartuf.60 ml	00021636	Zigante	0.060	KOM	       7,99		1	L	133,2			MPC 2.5.2025=7,99€	3859889179515	HRANA
Lino crunch duo  vr. 500 g	00021762	Lino	0.500	KOM	       4,79		1	KG	9,58			MPC 2.5.2025=4,79€	3850104263514	HRANA
Podravka Lino crunch duo žit.kuglice225g	00021768	Podravka	0.225	KOM	       3,19		1	KG	14,18			MPC 2.5.2025=2,79€	3850104263149	HRANA
Pita sa špinatom 500 g	00021818	Jami	0.500	KOM	       3,49		1	KG	6,98			MPC 2.5.2025=4,49€	3871832023478	HRANA
Cesar Hrana za pse žele pur.i gov. 150 g	00021948	Cesar	0.150	KOM	       1,55		1	KG	10,33			MPC 2.5.2025=1,59€	4008429041013	PROIZVODI ZA KUĆANSTVO
Pita sa sirom smrzn. 500 g	00021949	Jami	0.500	KOM	       3,49		1	KG	6,98			MPC 2.5.2025=4,49€	3871832023454	HRANA
Kalodont Pasta za zube microgr.125ml _OC	00021951	Kalodont	0.125	KOM	       1,49	A	1	L	11,92	       1,49	1,53	MPC 2.5.2025=2,49€	3850105145574	KOZMETIKA
Kalodont Pasta za zube herbal 125ml_OC	00021953	Kalodont	0.125	KOM	       1,49	A	1	L	11,92	       1,49	1,53	MPC 2.5.2025=2,49€	3850105145611	KOZMETIKA
Euromilk kajmak 65% mm 220 g	00021990	Euro-Milk	0.220	KOM	       3,85		1	KG	17,5			MPC 2.5.2025=4,29€	3859889770354	HRANA
Encian Sportina žitarice 375g	00021994	Encian	0.375	KOM	       3,35		1	KG	8,933			MPC 2.5.2025=3,09€	5907731602068	HRANA
Syoss Oleo boja za kosu 3 -10 tamnosmeđa	00022055	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100840743	KOZMETIKA
Syoss Oleo boja za kosu 4-23 vinsko crve	00022056	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100840835	KOZMETIKA
Syoss Oleo boja za kosu 6-80 lješ. plava	00022057	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100840897	KOZMETIKA
Gabrieli domaći keksi 750g	00022059	Gabrieli	0.750	KOM	       3,85		1	KG	5,133			MPC 2.5.2025=3,85€	3859889085045	HRANA
Syoss Oleo boja za kosu 8 - 05 bež plava	00022060	Syoss Oleo	0.115	KOM	       7,99		1.000					MPC 2.5.2025=7,99€	9000100840965	KOZMETIKA
KLC.Sirni namaz natur 70%m.m.200 g	00022061	K-Classic	0.200	KOM	       1,49		1	KG	7,45			MPC 2.5.2025=1,49€	4337185682490	HRANA
Evropa Bananice čokoladne 85 g	00022071	Evropa	0.085	KOM	       1,05		1	KG	12,35			MPC 2.5.2025=1,05€	5310002153815	HRANA
KLC.Topljeni sirni listići edamer 200g	00022072	K-Classic	0.200	KOM	       1,59		1	KG	7,95			MPC 2.5.2025=1,59€	4337185525841	HRANA
KLC.Topljeni sirni listići gouda 200g	00022074	K-Classic	0.200	KOM	       1,59		1	KG	7,95			MPC 2.5.2025=1,59€	4337185292460	HRANA
KLC.Topljeni sirni listići toast 200g	00022075	K-Classic	0.200	KOM	       1,59		1	KG	7,95			MPC 2.5.2025=1,59€	4337185525902	HRANA
KLC.Topljeni sirni listići Chestery 200g	00022085	K-Classic	0.200	KOM	       1,59		1	KG	7,95			MPC 2.5.2025=1,59€	4337185525940	HRANA
KLC.Mascarpone 80% m.m.250 g	00022087	K-Classic	0.250	KOM	       2,49		1	KG	9,96			MPC 2.5.2025=2,39€	4337185317194	HRANA
Pivac Kobasica Čajna 300 g	00022095	Pivac	0.300	KOM	       4,89		1	KG	16,3			MPC 2.5.2025=4,59€	3858884997179	HRANA
KLC.Emmentaler rezani 150 g	00022099	K-Classic	0.150	KOM	       1,99		1	KG	13,27			MPC 2.5.2025=1,85€	4008432043691	HRANA
KLC.Emmental ribani sir 200 g	00022104	K-Classic	0.200	KOM	       2,59		1	KG	12,95			MPC 2.5.2025=2,49€	4337185486159	HRANA
KLC.Emmentaler komad 400 g	00022107	K-Classic	0.400	KOM	       4,49		1	KG	11,23			MPC 2.5.2025=3,99€	4337185626128	HRANA
KLC.Meki slani sir 45%m.m.200g	00022126	K- Classic	0.200	KOM	       1,85		1	KG	9,25			MPC 2.5.2025=1,99€	4063367438271	HRANA
KLC.Dječji sirni desert 6x60g	00022139	K-Classic	0.360	KOM	       1,35		1	KG	3,75			MPC 2.5.2025=1,29€	4337185652622	HRANA
Pita s krumpirom 500 g	00022206	Jami	0.500	KOM	       3,49		1	KG	6,98			MPC 2.5.2025=4,49€	3871832023461	HRANA
Wein Švarcvaldska šunka cca4kg delikates	00022298	Wein`s	1	KG	      16,70		1.000					MPC 2.5.2025=15,9€	2800541000000	HRANA
Nivea Gel za tuš.kokos za žene 250ml_OC	00022376	Nivea	0.250	KOM	       2,99		1	L	11,96			MPC 2.5.2025=2,99€	9005800223018	KOZMETIKA
Nivea Gel za tuš.Power ref.men 250ml_OC	00022379	Nivea	0.286	KOM	       2,99		1	L	11,96			MPC 2.5.2025=2,99€	9005800286532	KOZMETIKA
Somersby jabuka cider 0,5 l LIM	00022388	Somersby	0.500	KOM	       1,79		1	L	3,38			MPC 2.5.2025=1,79€	3858887584055	PIĆE
Euromilk kajmak 65% mm cca 1 DEL	00022402	Euro-Milk	1	KG	      12,30		1.000					MPC 2.5.2025=12,9€	2800351000000	HRANA
Kandi čokolada Milky plus 90 g	00022526	Kandi	0.090	KOM	       1,39		1	KG	15,44			MPC 2.5.2025=1,49€	3858881047693	HRANA
KLC.Keksi s maslacem i tamn.čoko.125g	00022569	K-Classic	0.125	KOM	       2,29		1	KG	18,32			MPC 2.5.2025=2,55€	4001450143725	HRANA
KLC.Keksi s maslacem i mliječ.čokol.125g	00022572	K-Classic	0.125	KOM	       2,19		1	KG	17,52			MPC 2.5.2025=2,55€	4001450143732	HRANA
Baguette s lukom 200 g Aryzta	00022681	#	0.200	KOM	       0,74		1	KG	 3,7			MPC 2.5.2025=0,74€	4049727002221	HRANA
Delta Sladoled vanilija čokolad.jagoda2L	00022851	Delta	1	KOM	       3,39		1	L	1,695			MPC 2.5.2025=3,39€	3858885755990	HRANA
Dukatos jogurt jagoda 8% mm 150 g	00022860	Dukatos	0.150	KOM	       0,99		1	KG	 6,6			MPC 2.5.2025=0,99€	3850354009788	HRANA
Dukatos jogurt badem pistacija 8%mm 150g	00022864	Dukatos	0.150	KOM	       0,99		1	KG	 6,6			MPC 2.5.2025=0,99€	3850354009764	HRANA
Euromilk Kiselo vrhnje 20%mm cca 5 DEL	00022899	Euromilk	1	KG	       4,80		1.000					MPC 2.5.2025=4,8€	2800352000000	HRANA
Dr.Oetker Citronka specijal bazga 50g	00022901	Dr.Oetker	0.050	KOM	       1,05		1	KG	  21			MPC 2.5.2025=1,05€	5997381352840	HRANA
Raid el.aparat s tekućinom 30 noći	00022946	Raid	0.029	KOM	       8,99		1.000					MPC 2.5.2025=8,99€	5000204816778	KOZMETIKA
Simply venus 2 brijač 4 +2 komada	00023060	Simply Venus	0.050	KOM	       4,99		1	KOM	1,248			MPC 2.5.2025=4,99€	7702018069316	KOZMETIKA
