naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
MUSLI SPAR HRSKAVI KOKOS 400 g;307746;SPAR;0,4000;kg;4,19;10,48;;;4,19;9100000809434;Hrana
MUSLI SPAR HRSK.LJEŠNJAK 450 g;307747;SPAR;0,4500;kg;3,79;8,42;;;3,79;9100000817965;Hrana
VREÆICE ZA IZMET 60 kom;307767;;1,0000;kom;2,79;2,79;;;2,79;8011391104729;Proizvodi za kuæanstvo
PRALINE ROCHER CUBETTO 75 g;307839;Ferrero;0,0750;kg;;46,53;3,49;4,99;4,49;8000500160466;Hrana
SP RUKAVICE JEDNOKRAT.S/M 50/1;307842;Splendid;50,0000;kom;3,99;0,08;;;3,99;9100000975351;Proizvodi za kuæanstvo
SP RUKAVICE JEDNOKRAT.M/L 50/1;307843;Splendid;50,0000;kom;3,99;0,08;;;3,99;9100000975375;Proizvodi za kuæanstvo
ŠUNKA GAVRILOVIÆ MANDOL.340 g;307846;Gavrilovic;0,3400;kg;7,19;21,15;;;7,19;3858890209679;Hrana
GRAH ZVIJEZDA SMEÐI 800 g;307849;Zvijezda;0,4800;kg;1,99;4,15;;;1,99;3856015309679;Hrana
GRAH ZVIJEZDA SMEÐI 400 g;307851;Zvijezda;0,2400;kg;1,29;5,38;;;1,29;3856015309648;Hrana
SP KRPA SPUŽVASTA 3/1 21487;307856;Splendid;3,0000;kom;3,79;1,26;;;3,79;9100000975405;Proizvodi za kuæanstvo
TOAL.PAP.LOVELY BIJELI 10/1 ;307910;Lovely;10,0000;kom;3,19;0,32;;;2,99;9100000733111;Toaletne potrepštine
JUHA OD GRAHA 620 g;307935;;0,6200;kg;2,79;4,50;;;2,79;8014190017115;Hrana
UMAK KF JOSEF BOLOGNESE 350 g;307946;;0,3500;kg;;6,06;2,12;2,65;2,65;8595241519821;Hrana
UMAK KF JOSEF BASILICO 350 g;307947;;0,3500;kg;;6,06;2,12;2,65;2,65;8595241519760;Hrana
UMAK KF JOSEF NAPOLETANA 350 g;307948;;0,3500;kg;;6,06;2,12;2,65;2,65;8595241519784;Hrana
ÈOKOLADA MILKA TRIOLADA 280 g;307967;Milka;0,2800;kg;6,79;24,25;;;6,79;7622210702623;Hrana
TUNA SAL.RIO MARE TEXANA 160 g;308027;Rio Mare;0,1600;kg;2,14;13,38;;;4,68;8004030845046;Hrana
KEKS PLAZMA MINI MINI 200 g;308110;Plazma;0,2000;kg;2,59;12,95;;;2,59;8600043022346;Hrana
CHOCO BANANA KANDIT ORIG.544 g;308144;Kandit;0,5440;kg;7,69;14,14;;;5,39;3858889865503;Hrana
LIKER BOGATI MEDICA 0,7 L;308223;;0,7000;L;10,99;15,70;;;10,32;3859889132336;Piæa
LIKER BOGATI ÈOKOLADA 0,7 L;308224;;0,7000;L;10,99;15,70;;;10,32;3859889132435;Piæa
LIKER BOGATI VIŠNJA 0,7L;308225;;0,7000;L;10,99;15,70;;;10,32;3859889132428;Piæa
HRANA ZA MAÈKE POES.SRCE 85 g;308250;Vitakraft;0,0850;kg;,72;8,47;;;0,72;4008239366672;Proizvodi za kuæanstvo
HRANA ZA MAÈKE POESIE BAK.85 g;308253;Vitakraft;0,0850;kg;,72;8,47;;;0,72;4008239366665;Proizvodi za kuæanstvo
HRANA ZA MAÈKE POESIE GOV.85 g;308257;Vitakraft;0,0850;kg;,72;8,47;;;0,72;4008239366641;Proizvodi za kuæanstvo
HRANA ZA MAÈKE POESIE PIL.85 g;308258;Vitakraft;0,0850;kg;,72;8,47;;;0,72;4008239366627;Proizvodi za kuæanstvo
HRANA ZA MAÈKE POESIE PUR.85 g;308259;Vitakraft;0,0850;kg;,72;8,47;;;0,72;4008239366634;Proizvodi za kuæanstvo
HRANA ZA MAÈ.POE.KITT.PIL.85 g;308262;Vitakraft;0,0850;kg;,72;8,47;;;0,72;4008239366689;Proizvodi za kuæanstvo
KEKSI ZA PSE VITA MIX 300 g;308267;Vitakraft;0,3000;kg;2,99;9,97;;;3,05;8007229348946;Proizvodi za kuæanstvo
VREÆICE ZA IZMET 3X15 KOM;308273;;3,0000;kom;4,29;1,43;;;4,24;4008239583321;Proizvodi za kuæanstvo
OVRATNIK ZA PSE 30-45 cm;308275;Vitakraft;1,0000;kom;5,49;5,49;;;5,44;4008239141736;Proizvodi za kuæanstvo
VREÆICE ZA IZMET 3X20 KOM;308276;Vitakraft;3,0000;kom;2,39;0,80;;;2,39;8007229009557;Proizvodi za kuæanstvo
MUSLI N.PUR AMARAN/BADEM 375 g;308294;Natur pur;0,3750;kg;3,69;9,84;;;3,71;9100000822563;Hrana
MUSLI N.PUR QUINOA/KOKOS 375 g;308296;Natur pur;0,3750;kg;3,79;10,11;;;3,71;9100000822587;Hrana
MAK MLJEVENI NATUR PUR 200 g;308299;SPAR Natur*pur;0,2000;kg;2,49;12,45;;;2,38;9100000825137;Hrana
BOMBONI NEGRO 200 g;308313;Negro;0,2000;kg;2,39;11,95;;;2,39;8602300219681;Hrana
BOMBONI BEBETO SPAGH.COLA 80 g;308317;Bebeto;0,0800;kg;0,99;12,38;;;0,99;8690146085164;Hrana
SIRNI ŠTAPIÆI CHEESUPERS 80 g ;308325;;0,0800;kg;1,79;22,38;;;1,45;5902431271156;Hrana
SIR CHEDDAR CRVENI REZAN.150 g;308327;;0,1500;kg;3,19;21,27;;;3,19;5902431270432;Hrana
DESER.MONTE WHITE ZOTT 4x100 g;308331;Zott;0,4000;kg;2,79;6,98;;;2,65;4014500512747;Hrana
SIR KREM ÈILI VIVIS 100 g;308333;;0,1000;kg;1,29;12,90;;;1,29;3850108058949;Hrana
ÈAJNO PECIVO VIŠNJA 300 g;308334;;0,3000;kg;3,79;12,63;;;3,49;3859888257481;Hrana
TORTINA MLIJEÈNA S-BUDGET 305g;308339;S-BUDGET;0,3050;kg;1,92;6,30;;;1,77;3856021205361;Hrana
TORTINA KAKAO S-BUDGET 305 g;308341;S-BUDGET;0,3050;kg;1,92;6,30;;;1,77;3856021205347;Hrana
ROLADA S-BUDGET LJEŠNJAK 305 g;308343;S-BUDGET;0,3050;kg;1,43;4,69;;;1,28;3856021205323;Hrana
ROLADA S-BUDGET ÈOKOLADA 305 g;308344;S-BUDGET;0,3050;kg;1,43;4,69;;;1,28;3856021205309;Hrana
SLANINA NIKO cca 800 g VP;308360;Niko;1,0000;kg;13,99;13,99;;;13,99;3859898991450;Hrana
HRENOVKA POLI KOKTEL 330 g;308364;Poli;0,3300;kg;2,25;6,82;;;2,25;3850220153942;Hrana
ŠUNKA SUHA DALMAT.NAR. 100 g;308374;Pivac;0,1000;kg;;28,90;2,89;3,35;3,39;3858890183917;Hrana
DJEÈJI ÈAJ CICIBAN 40 g;308412;Podravka;0,0400;kg;2,09;52,25;;;2,05;3850104073908;Piæa
ÈOKOLADA MILKA NOISETTE 270 g;308419;Milka;0,2700;kg;3,99;14,78;;;6,79;7622210702593;Hrana
MICELARNA PJENA OLIVAL 175 ml;308486;Olival;0,1750;L;6,69;38,23;;;5,99;3859893186318;Kozmetika
MICELARNI GEL OLIVAL 200 ml;308487;Olival;0,2000;L;5,99;29,95;;;5,39;3859893186363;Kozmetika
KOBASICA ZA KUH. I PEÈ. 300 g;308494;Gavrilovic;0,3000;kg;4,25;14,17;;;4,25;3858890209884;Hrana
TATARSKI BIFTEK 200 g;308509;MCL Mesni center Luka;0,2000;kg;;24,95;4,99;5,77;5,77;3830067860012;Hrana
ZASEKA DOMAÆA DIMLJENA 250 g;308513;MCL Mesni center Luka;0,2500;kg;3,29;13,16;;;3,29;3830067860036;Hrana
ÈVARCI 200 g;308559;Silma;0,2000;kg;3,89;19,45;;;3,98;3859892782009;Hrana
ŠLJIVA SUHA BEZ KOŠ.SPAR 200 g;308561;SPAR;0,2000;kg;1,49;7,45;;;1,89;8710671151926;Hrana
DATULJA SUHA BEZ K.SPAR 200 g;308562;SPAR;0,2000;kg;1,34;6,70;;;1,59;8710671151988;Hrana
VODKA GREY GOOSE 0,7 L;308603;;0,7000;L;58,02;82,89;;;58,02;5010677850100;Piæa
KUKURUZNA KRUPICA LARA 1000 g;308619;;1,0000;kg;1,99;1,99;;;1,98;3859892259426;Hrana
DŽEM BAKINA TAJNA MALINA 375 g;308647;Bakina Tajna;0,3750;kg;5,99;15,97;;;5,99;8606011031228;Hrana
Kolaè Krempita 135 g;308655;;0,1350;kg;1,19;8,81;;;1,19;3858884926797;Hrana
GRIS INSTANT FRANCK 400 g;308682;Franck;0,4000;kg;1,69;4,23;;;1,69;3858881081598;Hrana
GRIS INSTANT FRANCK 200 g;308683;Franck;0,2000;kg;1,09;5,45;;;1,09;3858881086401;Hrana
CORNFLAKES SANTE 500 g;308684;;0,5000;kg;2,79;5,58;;;2,79;5900617031457;Hrana
PREZ.DUREX EXTRA SAFE 18/1;308687;Durex;18,0000;kom;13,49;0,75;;;13,45;5052197056259;Toaletne potrepštine
PREZ.DUREX FEEL INTIMATE 18/1;308688;Durex;18,0000;kom;15,49;0,86;;;14,95;5052197056228;Toaletne potrepštine
GRANOLA SANTE FRUIT 350 g;308689;;0,3500;kg;3,99;11,40;;;3,90;5900617002969;Hrana
GRANOLA SANTE ÈOKOLADA 350 g;308690;;0,3500;kg;3,99;11,40;;;3,90;5900617002983;Hrana
CRUNCHY SANTE ÈOK.BANANA 350 g;308691;;0,3500;kg;3,49;9,97;;;3,49;5900617002617;Hrana
JEÈM.PAH.SANTE FIT 225 g;308693;;0,2250;kg;3,19;14,18;;;3,19;5900617030788;Hrana
LOSOS PACIFIÈKI MSC FROZY 450g;308704;;0,4500;kg;7,49;16,64;;;7,49;3858891042008;Hrana
TJEST.S-BUDGET ASIA 121 g;308706;S-BUDGET;0,1210;kg;1,59;13,14;;;1,69;9100000775241;Hrana
TJEST.S-BUDGET GLJIVE 170 g;308707;S-Budget;0,1700;kg;1,69;9,94;;;1,69;9100000737706;Hrana
TJEST.S-BUDGET RAJÈICA 170 g;308714;S-Budget;0,1700;kg;1,69;9,94;;;1,69;9100000737683;Hrana
TJEST.S-BUDGET BOLOGNESE 170 g;308715;S-Budget;0,1700;kg;1,69;9,94;;;1,69;9100000775265;Hrana
RAJ.PASIR.VITAL 600 g(3x200 g);308717;SPAR Vital;0,6000;kg;1,99;3,32;;;1,99;9100000776538;Hrana
DOBRA ZOB.KAŠA ÈOKOLADA 260 g;308727;;0,2600;kg;;7,50;1,95;3,29;3,29;8595054901110;Hrana
ÈAJ SPAR KOMORAÈ 50 g;308731;SPAR;0,0500;kg;1,79;35,80;;;1,69;9100100122709;Piæa
KULEN RAVNI DOBRO NAREZAK 80 g;308761;Dobro;0,0800;kg;1,89;23,63;;;1,79;3850133804221;Hrana
BLAZ.JASMIN  NATURE OVAL 50/1;308809;Jasmin;50,0000;kom;1,65;0,03;;;1,65;3838985880976;Toaletne potrepštine
MLJEV.KAVA ANAMARIA 400 g;309139;Anamarija;0,4000;kg;7,79;19,48;;;7,79;3858881775275;Piæa
GEL TUŠ.S BUDGET ALOE VERA 1 L;309151;S-Budget;1,0000;L;1,59;1,59;;;1,69;9100000015729;Kozmetika
PRALINE GOURMAND MORS.ŠK.250 g;309226;SPAR Qualitätsmarke;0,2500;kg;3,99;15,96;;;3,49;8710671152398;Hrana
PROTEIN.ZOBENA KAŠA BOROV.65 g;309230;Encian;0,0650;kg;1,59;24,46;;;1,59;3858890102697;Hrana
ÈAJ AGRISTAR LAKU NOÆ 50 g;309233;Agristar;0,0500;kg;2,65;53,00;;;2,45;3858886505013;Piæa
ÈAJ AGRISTAR SEDAM BILJ. 50 g;309234;Agristar;0,0500;kg;2,49;49,80;;;2,49;3858886505006;Piæa
BRAŠNO PROSENO BIO ENCI.250 g;309235;Encian;0,2500;kg;2,99;11,96;;;2,49;3858890102994;Hrana
BRAŠNO ZOBENO BIO ENCIAN 250 g;309238;Encian;0,2500;kg;2,99;11,96;;;2,49;3858890102987;Hrana
ÈAJ DARVITALIS VRKUTA BIO 40 g;309239;Darvitalis;0,0400;kg;3,99;99,75;;;3,99;3858890830330;Piæa
ÈAJ DARVITALIS STOLIS.BIO 40 g;309240;Darvitalis;0,0400;kg;3,99;99,75;;;3,99;3858890830422;Piæa
ÈAJ DARVITA. KOPRIVA BIO 40 g;309241;Darvitalis;0,0400;kg;3,99;99,75;;;3,99;3858890830484;Piæa
ÈAJ DARVITALIS VRBOV.BIO 40 g;309242;Darvitalis;0,0400;kg;3,99;99,75;;;3,99;3858890830453;Piæa
ÈAJ DARVITALIS ZELENI BIO 40 g;309243;Darvitalis;0,0400;kg;3,99;99,75;;;3,99;3858890830576;Piæa
ÈAJ AGRISTAR VRBOVICA 30 g;309246;Agristar;0,0300;kg;1,85;61,67;;;1,85;3858886504979;Piæa
ÈOKOLADA KINDER DELICE 156 g;309250;Kinder;0,1560;kg;2,89;18,53;;;2,69;8000500264379;Hrana
ÈOKOLADA KINDER MAXI 42 g;309251;Kinder;0,0420;kg;1,19;28,33;;;1,05;4008400224022;Hrana
NAMAZ PREMIUM LJEŠNJAK 350 g;309253;Premium;0,3500;kg;5,99;17,11;;;5,99;9100000824734;Hrana
SMJESA ZA PALAÈINKE 250 g;309264;Dr. Oetker;0,2500;kg;2,49;9,96;;;2,49;5997381362290;Hrana
ŠA.GARNIER FRUCTIS ALOE 250 ml;309348;Garnier;0,2500;L;3,49;13,96;;;3,39;3600542134736;Kozmetika
RE.GARNIER FRUCTIS ALOE 250 ml;309349;Garnier;0,2500;L;3,49;13,96;;;3,29;3600542134835;Kozmetika
ŠTRUDLA SPAR MIJEŠ.VOÆE 252 g;309366;SPAR Qualitätsmarke;0,2520;kg;1,09;4,33;;;1,19;3856021205200;Hrana
ŠTRUDLA SPAR SMOKVA 252 g;309368;SPAR;0,2520;kg;1,09;4,33;;;1,19;3856021205187;Hrana
ÈAJ PODRAVKA ÐUMBIR LIMUN 40 g;309381;Podravka;0,0400;kg;2,55;63,75;;;2,55;3856020205331;Piæa
ÈAJ PODRAVKA PLANINSKI 44 g;309384;Podravka;0,0440;kg;2,29;52,05;;;2,15;3856020205270;Piæa
VL.MAR.BLISTA DRVO 50/1;309388;Blista;50,0000;kom;1,89;0,04;;;1,89;3859890063476;Sredstva za èišæenje
BALZAM EVELINE BOTANIC 350 ml;309421;Eveline;0,3500;L;4,49;12,83;;;4,79;5901761949391;Kozmetika
UMAK NATUR PUR ÈEŠNJAK 350 g;309427;Spar Natur pur;0,3500;kg;2,99;8,54;;;2,99;9100000819365;Hrana
ZRNA KAVE SPAR 75 g;309437;SPAR;0,0750;kg;;26,00;1,95;2,79;2,79;9100000824864;Hrana
KOMADIÆI MLIJ.ÈOK. SPAR 100 g;309438;SPAR;0,1000;kg;;19,50;1,95;2,79;2,79;9100000824888;Hrana
ROLICE ÈOK.SPAR 80 g;309440;SPAR;0,0800;kg;;24,38;1,95;2,79;2,79;9100000826028;Hrana
ÈOKOLADNA SRCA SPAR 80 g;309441;SPAR;0,0800;kg;;24,38;1,95;2,79;2,79;9100000826042;Hrana
GAZIRANO PIÆE COCKTA 0,5 L;309448;Cockta;0,5000;L;1,25;2,50;;;1,22;3838471032476;Piæa
PIVO KOZEL SVIJETLO 0,5 L P.A;309449;Kozel;0,5000;L;1,29;2,58;;;1,25;8594404005096;Piæa
PIVO KOZEL TAMNO 0,5 L P.A.;309450;Kozel;0,5000;L;1,29;2,58;;;1,25;8594404001418;Piæa
TP ZEWA DELICATE CARE 3SL.16/1;309456;Zewa;16,0000;kom;6,49;0,41;;;4,99;7322540313321;Toaletne potrepštine
MASLINE PREMIUM VELIKE 530 g;309471;SPAR PREMIUM;0,3100;kg;;8,03;2,49;3,39;3,39;8001300235224;Hrana
GAZIRANO PIÆE COCKTA ORI.1,5 L;309477;Cockta;1,5000;L;1,85;1,23;;;1,45;3838471032537;Piæa
KRUH SJEME BEZ GLUTENA 400 g;309479;;0,4000;kg;4,89;12,23;;;4,75;3859893064142;Hrana
KRUH VITAL BEZ GLUTENA 300 g;309481;;0,3000;kg;4,89;16,30;;;4,89;3859893064340;Hrana
CIKLA S-BUDGET REZANA 1600 g;309494;S-Budget;0,9000;kg;4,19;4,66;;;4,19;3856021205781;Hrana
ZOBENA KAŠA MY LIFE ÈOK.65 g ;309497;My Life;0,0650;kg;0,75;11,54;;;0,75;3858891292045;Hrana
JUHA JETR.KNEDLI S-BUD.400 g;309500;S-Budget;0,4000;kg;2,19;5,48;;;2,19;9100000050218;Hrana
JUHA S GRAHOM S-BUDGET 400 g;309507;S-Budget;0,4000;kg;2,19;5,48;;;2,19;9100000050188;Hrana
GOVEÐI GULAŠ S-BUDGET 400 g;309513;S-Budget;0,4000;kg;3,79;9,48;;;3,19;9100000061382;Hrana
DESPAR NEKTAR BANANA-JABUK.1 L;309540;Despar;1,0000;L;1,49;1,49;;;2,02;8001300151982;Piæa
PREMIUM SOK OD ANANASA 0,75 L;309545;SPAR PREMIUM;0,7500;L;2,19;2,92;;;2,52;8001300150619;Piæa
PREMIUM SOK OD JABUKE 0,75 L;309546;SPAR PREMIUM;0,7500;L;2,19;2,92;;;2,52;8001300150626;Piæa
PREMIUM SOK OD NARANÈE 0,75 L;309548;SPAR PREMIUM;0,7500;L;2,19;2,92;;;2,52;8001300150602;Piæa
ÈIPS S BUDGET SLANI 175 g;309552;S-Budget;0,1750;kg;2,49;14,23;;;2,49;9100000784151;Hrana
ÈIPS S BUDGET PAPRIKA 175 g;309555;S-Budget;0,1750;kg;2,49;14,23;;;2,49;9100000784175;Hrana
VINO CAMEMBERT 0,75 L;309574;;0,7500;L;6,59;8,79;;;6,59;3263280117838;Piæa
ULOŠCI PAMINA NORMAL PLUS 20/1;309609;Pamina;20,0000;kom;1,29;0,06;;;1,22;9100000041728;Toaletne potrepštine
ULOŠCI PAMINA SUPER PLUS 14/1;309610;Pamina;14,0000;kom;1,69;0,12;;;1,75;9100000946870;Toaletne potrepštine
BIO KLICE ROTKVICE 70 g;309612;;0,0700;kg;2,19;31,29;;;2,19;3857500059482;Hrana
BIO KLICE BROKULE 70 g;309613;;0,0700;kg;2,19;31,29;;;2,19;3857500059468;Hrana
ÈIPS FREE FROM MORS.SOL 100 g;309630;SPAR free from;0,1000;kg;2,99;29,90;;;2,99;9100000822839;Hrana
DEO SPRAY AXE GOLD 150 ml;309633;Axe;0,1500;L;4,89;32,60;;;4,55;8710447249017;Kozmetika
ROLL-ON DOVE INVISIBLE 50 ml;309671;Dove;0,0500;L;5,20;104,00;;;5,20;59095958;Kozmetika
LED.ÈAJ FUZE LIMUN.TRAVA 1,5 L;309685;;1,5000;L;1,79;1,19;;;1,75;5449000239266;Piæa
DEO SP.DOVE INVISIBLE C.150 ml;309686;Dove;0,1500;L;5,20;34,67;;;5,20;8720181291562;Kozmetika
LED.ÈAJ FUZE LIMUN.TRAVA 0,5 L;309687;;0,5000;L;1,29;2,58;;;1,25;5449000239181;Piæa
LED.ÈAJ FUZE BRESKVA 0,5 L;309689;;0,5000;L;1,29;2,58;;;1,25;5449000239204;Piæa
TUNA S-BUDGET SUNC.ULJE 6X80 g;309690;S-Budget;0,3120;kg;5,99;19,20;;;5,99;8033954551559;Hrana
LED. ÈAJ FUZE ŠUMSK.VOÆE 0,5 L;309691;;0,5000;L;1,29;2,58;;;1,25;5449000239167;Piæa
LED.ÈAJ FUZE ŠUMSK.VOÆE 1,5 L ;309692;;1,5000;L;1,79;1,19;;;1,75;5449000239303;Piæa
LEDENI ÈAJ FUZE BRESKVA 1,5 L;309694;;1,5000;L;1,79;1,19;;;1,75;5449000239280;Piæa
KOMPOT NATUR PUR ANANAS 350 g.;309696;Natur pur;0,2000;kg;2,99;14,95;;;3,99;9100000794778;Hrana
OSV.SPLENDID ZA PER.POSUÐA 3/1;309707;Splendid;3,0000;kom;1,99;0,66;;;2,12;9100000746715;Sredstva za èišæenje
MODELIRAJUÆA GLINA TAFT 75 ml;309732;Taft;0,0750;L;4,49;59,87;;;4,19;9000101206012;Kozmetika
VINO ROSE KV.ERDUT  0,75 L;309742;;0,7500;L;4,99;6,65;;;6,99;3859889193177;Piæa
DEO SPRAY FA FIJI DREAM 150 ml;309747;Fa;0,1500;L;3,29;21,93;;;3,20;9000101092226;Kozmetika
BOJA PALETTE PNC BEŽ-PLAVA 9-1;309772;Palette;1,0000;kom;3,89;3,89;;;3,89;9000101206630;Kozmetika
BOJA SYOSS OLEO BEŽ PLAVA 8-05;309785;Syoss;1,0000;kom;6,49;6,49;;;6,49;9000100840965;Kozmetika
BOJA SYOSS OLEO MED.PLAVA 8-60;309790;Syoss;1,0000;kom;6,49;6,49;;;6,49;9000101086652;Kozmetika
BOJA SYOSS ULTRA P.PLAVA 10-55;309793;Syoss;1,0000;kom;6,19;6,19;;;5,59;9000101210453;Kozmetika
ARTIÈOKE S-BUDGET GRILL 280 g;309838;S-Budget;0,1700;kg;2,69;15,82;;;2,69;9100000802367;Hrana
RAJÈICA S-BUDGET SUŠENA 280 g;309841;S-Budget;0,1600;kg;2,16;13,50;;;2,99;9100000802404;Hrana
DIVLJA BRUSNICA S-BUDGET 400 g;309883;S-Budget;0,4000;kg;2,49;6,23;;;2,49;9100000802466;Hrana
VODA FIJI 1 L;309944;;1,0000;L;4,79;4,79;;;4,02;9417574000113;Piæa
VODA ROEMERQUELLE 1,5 L;309948;Römerquelle;1,5000;L;1,05;0,70;;;0,98;9031100004187;Piæa
SLADOLED HD MACAD.ŠTAPIÆ 80 ml;309977;Häagen Dazs;0,0800;L;;22,38;1,79;2,39;2,39;3415587421839;Hrana
DEO SP.MEN EXPERT SHIRT 150 ml;310046;LOREAL;0,1500;L;5,19;34,60;;;4,79;3600523595556;Kozmetika
DEO S.MEN EXPE.THERMIC 150 ml;310047;LOREAL;0,1500;L;5,19;34,60;;;4,79;3600523595563;Kozmetika
ROLL-ON MEN EXPERT THER.50 ml ;310054;LOREAL;0,0500;L;5,19;103,80;;;4,79;3600523595518;Kozmetika
ROLL-ON MEN EXPERT CARB.50 ml ;310055;LOREAL;0,0500;L;5,19;103,80;;;4,79;3600523595600;Kozmetika
ROLL-ON MEN EXPERT SHIRT 50 ml;310056;LOREAL;0,0500;L;5,19;103,80;;;4,79;3600523595617;Kozmetika
MICELARNA OTOPIN.OLIVAL 200 ml;310133;Olival;0,2000;L;4,69;23,45;;;3,89;3859893186448;Kozmetika
FLIPS PUFULETI GUSTO 85 g;310174;GUSTO;0,0850;kg;0,94;11,06;;;0,94;5941868200087;Hrana
KREMA AFRODITA CALENDUL.150 ml;310252;Afrodita;0,1500;L;4,99;33,27;;;4,99;3830001291919;Kozmetika
BADEMI SL.PRŽ.OLJUŠ.SPAR 125 g;310260;SPAR;0,1250;kg;2,39;19,12;;;2,29;9100000827469;Hrana
PIVO BENEDIKTINER PŠENIÈ.0,5 L;310261;Benediktiner;0,5000;L;1,99;3,98;;;2,02;4052197001281;Piæa
PIVO BITBURGER LIMENKA 0,5L;310263;Bitburger;0,5000;L;2,02;4,04;;;2,02;41024355;Piæa
MANGO POL.SPAR VITAL BIO 200 g;310264;SPAR Vital;0,2000;kg;6,49;32,45;;;5,7;9100000996202;Hrana
SMOKVA SUŠENA SPAR 200 g;310265;SPAR;0,2000;kg;2,49;12,45;;;2,19;8710671151964;Hrana
CAPPUCCINO FRANCK NOUGAT 148 g;310270;Franck;0,1480;kg;;22,23;3,29;3,89;3,89;3858881088627;Piæa
ŠAMP.BOTANIC THERA.HON.400 ml;310305;Bothanic therapy;0,4000;L;4,49;11,23;;;4,49;3600542114240;Kozmetika
REG.BOTANIC THERAPY HO. 200 ml;310306;Bothanic therapy;0,2000;L;3,59;17,95;;;3,59;3600542114127;Kozmetika
ŠAMP.BOTANIC THERAPY RI.400 ml;310312;Bothanic therapy;0,4000;L;4,49;11,23;;;4,49;3600542114400;Kozmetika
REG.BOTANIC THERAPY RIC 200 ml;310314;Bothanic therapy;0,2000;L;3,59;17,95;;;3,59;3600542114448;Kozmetika
BRE.10XEFFEC.TOTAL PROT.700 ml;310336;Bref;0,7000;L;2,29;3,27;;;2,29;9000101311297;Sredstva za èišæenje
BIO GREJP NATUR PUR 700 g;310378;SPAR Natur*pur;0,7000;kg;2,29;3,27;;;2,19;3831115306704;Hrana
BIO LUK LJUBIÈASTI NP 500 g;310382;SPAR Natur*pur;0,5000;kg;1,59;3,18;;;1,59;3831115306698;Hrana
BLAZINICE VATE TO.TO 60/1;310436;Jasmin Nature;60,0000;kom;2,99;0,05;;;2,99;3838985882109;Toaletne potrepštine
JUICE VINDI RAJÈICA 100% 1 L;310439;;1,0000;L;1,99;1,99;;;1,99;3850108074949;Piæa
TORTELL.S RICO./ŠPINA.FK 250 g;310459;SPAR Feine Küche;0,2500;kg;1,99;7,96;;;1,99;9100000104065;Hrana
NAP.MLI.VAN.SPAR 1,5%mm.250 ml;310460;SPAR marka kvalitete;0,2500;L;,79;3,16;;;0,79;9100000825786;Piæa
PIÆE ALOE VERA MANGO 0,5 L;310464;;0,5000;L;1,78;3,56;;;1,78;8801056024376;Piæa
DVOPEK S-BUDGET CLASSIC 640 g;310496;S-BUDGET;0,6400;kg;2,39;3,73;;;2,39;8033954553966;Hrana
MJEŠAVINA SVJEŽIH KOLAÈA 370 g;310659;;0,3700;kg;5,29;14,30;;;5,29;3858889615733;Hrana
MASKA EVELINE FACEMAD 2x5 ml;310692;Eveline;2,0000;kom;1,19;0,60;;;1,19;5901761955286;Kozmetika
SIR GOUDA REZ.NP BIO 175 g;310711;SPAR Natur*pur;0,1750;kg;2,99;17,09;;;2,99;9100000890746;Hrana
FOLIJA ALUMINIJSKA 8m;310714;;1,0000;kom;2,49;2,49;;;2,99;8009986016663;Proizvodi za kuæanstvo
FOLIJA ALUMINIJSKA 30 m;310715;;1,0000;kom;4,99;4,99;;;5,99;8009986016670;Proizvodi za kuæanstvo
FOLIJA ALUMINIJSKA 50m;310717;;1,0000;kom;14,99;14,99;;;14,99;8009986016687;Proizvodi za kuæanstvo
PAPIR ZA PEÈENJE 8m;310718;;1,0000;kom;1,99;1,99;;;2,79;8009986016694;Proizvodi za kuæanstvo
FOLIJA PRIJANJAJUÆA 30m;310720;;1,0000;kom;1,99;1,99;;;2,79;8009986016700;Proizvodi za kuæanstvo
KRPA SPUŽVASTA ANTIFUNGI 3/1;310734;;3,0000;kom;2,79;0,93;;;2,79;9001378424499;Proizvodi za kuæanstvo
ÈOKOLADNI ZEC ROCHER 60 g;310743;Ferrero;0,0600;kg;3,49;58,17;;;0,99;4008400173825;Hrana
KRUH SCHAR PAN BLANCO 250 g;310839;Schar;0,2500;kg;2,49;9,96;;;2,39;8008698024065;Hrana
KRUH SCHAR PAN RUST. BG.250 g;310841;Schar;0,2500;kg;2,89;11,56;;;2,89;8008698024188;Hrana
DŽEM BAKINA TAJNA ŠIPAK 375 g;310845;Bakina Tajna;0,3750;kg;3,99;10,64;;;3,99;8606102785368;Hrana
GOVEÐI NAREZAK ASCOMMER.100 g ;310846;Ascommerce;0,1000;kg;1,09;10,90;;;1,09;3858881333918;Hrana
PILEÆI NAREZAK ASCOMER.100 g;310849;Ascommerce;0,1000;kg;1,09;10,90;;;1,09;3858881333901;Hrana
HRANA ZA PSE FRISKIES 4X100 g;310851;Friskies;0,4000;kg;2,79;6,98;;;2,79;7613036213264;Proizvodi za kuæanstvo
BOMBONI S IGRAÈ. PIŠTOLJ 20 g;310868;Ajax;0,0200;kg;2,79;139,50;;;2,79;8714786282803;Hrana
GUM.BOMBONI CANDY ŠTAP.JA.80 g;310872;Ajax;0,0800;kg;1,39;17,38;;;1,39;8422885001385;Hrana
